id_cliente,churn,genero,idoso,conjuge,dependentes,meses_contrato,telefone,multiplas_linhas,internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_digital,metodo_pagamento,cobranca_mensal,cobranca_total,contas_diarias
0022-TCJCI,Sim,Homem,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito,62.7,2791.5,2.09
0023-HGHWL,Sim,Homem,Sim,Não,Não,1,Não,Sem serviço de telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,25.1,25.1,0.84
0023-UYUPN,Não,Mulher,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque eletrônico,25.2,1306.3,0.84
0023-XUOPT,Sim,Mulher,Não,Sim,Não,13,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque eletrônico,94.1,1215.6,3.14
0027-KWYKW,Não,Mulher,Não,Sim,Sim,23,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,83.75,1849.95,2.79
0030-FNXPP,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.85,57.2,0.66
0031-PVLZI,Sim,Mulher,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,20.35,76.35,0.68
0032-PGELS,Sim,Mulher,Não,Sim,Sim,1,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária,30.5,30.5,1.02
0036-IHMOT,Não,Mulher,Não,Sim,Sim,55,Sim,Não,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária,103.7,5656.75,3.46
0040-HALCW,Não,Homem,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito,20.4,1090.6,0.68
0042-JVWOJ,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária,19.6,471.85,0.65
0042-RLHYP,Não,Mulher,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Transferência bancária,19.7,1396.9,0.66
0048-LUMLS,Não,Homem,Não,Sim,Sim,37,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito,91.2,3247.55,3.04
0048-PIHNL,Não,Mulher,Não,Sim,Não,49,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Transferência bancária,20.45,900.9,0.68
0052-DCKON,Não,Homem,Não,Sim,Não,66,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária,115.8,7942.15,3.86
0052-YNYOT,Não,Mulher,Não,Não,Não,67,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cheque eletrônico,20.55,1343.4,0.68
0056-EPFBG,Não,Homem,Não,Sim,Sim,20,Não,Sem serviço de telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bienal,Sim,Cartão de crédito,39.4,825.4,1.31
0057-QBUQH,Não,Mulher,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Cheque eletrônico,25.1,1070.15,0.84
0058-EVZWM,Não,Mulher,Não,Sim,Não,55,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária,89.8,4959.6,2.99
0060-FUALY,Não,Mulher,Não,Sim,Não,59,Sim,Sim,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,94.75,5597.65,3.16
0064-SUDOG,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Transferência bancária,20.3,224.5,0.68
0064-YIJGF,Não,Homem,Não,Sim,Sim,27,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária,75.75,1929.0,2.52
0067-DKWBL,Sim,Homem,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,49.25,91.1,1.64
0068-FIGTF,Não,Mulher,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque enviado,78.2,2078.95,2.61
0071-NDAFP,Não,Homem,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito,25.5,630.6,0.85
0074-HDKDG,Não,Homem,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,Transferência bancária,61.6,1611.0,2.05
0076-LVEPS,Não,Homem,Não,Não,Sim,29,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque enviado,45.0,1242.45,1.5
0078-XZMHT,Não,Homem,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária,85.15,6316.2,2.84
0080-EMYVY,Não,Mulher,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cartão de crédito,51.45,727.85,1.72
0080-OROZO,Não,Mulher,Não,Não,Não,35,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,99.25,3532.0,3.31
0082-LDZUE,Não,Homem,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,44.3,44.3,1.48
0082-OQIQY,Não,Homem,Não,Não,Não,29,Sim,Não,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.2,2607.6,3.14
0083-PIVIK,Não,Homem,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Não,Cheque eletrônico,81.25,5567.55,2.71
0089-IIQKO,Não,Mulher,Não,Sim,Sim,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito,99.95,3767.4,3.33
0093-EXYQL,Não,Mulher,Sim,Não,Não,40,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,91.55,3673.6,3.05
0093-XWZFY,Sim,Homem,Não,Não,Não,40,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,104.5,4036.85,3.48
0094-OIFMO,Sim,Mulher,Sim,Não,Não,11,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.0,1120.3,3.17
0096-BXERS,Não,Mulher,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,50.35,314.55,1.68
0096-FCPUF,Não,Homem,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque enviado,64.5,1888.45,2.15
0098-BOWSO,Não,Homem,Não,Não,Não,27,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,19.4,529.8,0.65
0100-DUVFC,Não,Homem,Sim,Sim,Não,70,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,104.8,7308.95,3.49
0103-CSITQ,Não,Mulher,Não,Sim,Não,57,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária,109.4,6252.7,3.65
0104-PPXDV,Não,Homem,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cartão de crédito,50.3,2878.55,1.68
0106-GHRQR,Não,Homem,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transferência bancária,71.4,1212.1,2.38
0106-UGRDO,Não,Mulher,Não,Sim,Não,69,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,116.0,8182.85,3.87
0107-WESLM,Sim,Homem,Não,Não,Não,1,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,19.85,19.85,0.66
0107-YHINA,Sim,Homem,Não,Não,Sim,1,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.75,99.75,3.32
0111-KLBQG,Não,Homem,Sim,Sim,Sim,32,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque enviado,93.95,2861.45,3.13
0112-QAWRZ,Não,Homem,Não,Sim,Sim,16,Sim,Sim,Fibra óptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transferência bancária,90.8,1442.2,3.03
0112-QWPNC,Sim,Homem,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,84.35,4059.35,2.81
0114-IGABW,Não,Mulher,Não,Sim,Não,71,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária,58.25,4145.9,1.94
0114-PEGZZ,Não,Mulher,Não,Não,Não,33,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,107.55,3645.5,3.58
0114-RSRRW,Não,Mulher,Não,Sim,Não,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Transferência bancária,19.95,187.75,0.66
0115-TFERT,Sim,Homem,Não,Sim,Não,21,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,111.2,2317.1,3.71
0117-LFRMW,Sim,Homem,Não,Sim,Sim,37,Não,Sem serviço de telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência bancária,40.2,1448.8,1.34
0118-JPNOY,Não,Mulher,Sim,Não,Não,26,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito,85.8,2193.65,2.86
0121-SNYRK,Não,Homem,Não,Não,Não,50,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Sim,Cheque enviado,35.4,1748.9,1.18
0122-OAHPZ,Sim,Mulher,Não,Não,Não,7,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.85,511.25,2.46
0123-CRBRT,Não,Mulher,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque enviado,88.1,5526.75,2.94
0125-LZQXK,Sim,Homem,Não,Não,Não,15,Sim,Não,Fibra óptica,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.35,1553.95,3.38
0128-MKWSG,Não,Mulher,Não,Não,Sim,26,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque enviado,45.8,1147.0,1.53
0129-KPTWJ,Não,Homem,Não,Sim,Não,72,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.65,6747.35,3.16
0129-QMPDR,Não,Homem,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária,20.5,865.05,0.68
0130-SXOUN,Não,Homem,Não,Não,Não,66,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de crédito,89.4,5976.9,2.98
0133-BMFZO,Sim,Mulher,Não,Não,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,86.25,181.65,2.88
0134-XWXCE,Não,Mulher,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária,74.85,3268.05,2.49
0135-NMXAP,Sim,Mulher,Não,Não,Não,12,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária,89.75,1052.4,2.99
0136-IFMYD,Não,Homem,Sim,Sim,Não,69,Sim,Sim,Fibra óptica,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,109.95,7634.25,3.66
0137-OCGAB,Sim,Mulher,Não,Não,Não,1,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,80.2,80.2,2.67
0137-UDEUO,Sim,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.85,63.75,0.66
0139-IVFJG,Não,Mulher,Não,Sim,Não,2,Sim,Não,Fibra óptica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,90.35,190.5,3.01
0141-YEAYS,Não,Mulher,Sim,Não,Não,27,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária,86.45,2401.05,2.88
0142-GVYSN,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Sim,Cheque eletrônico,20.3,511.25,0.68
0147-ESWWR,Não,Mulher,Sim,Sim,Não,39,Sim,Sim,Fibra óptica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,3949.15,3.38
0148-DCDOS,Sim,Homem,Não,Não,Não,25,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência bancária,94.7,2362.1,3.16
0151-ONTOV,Sim,Mulher,Não,Não,Não,1,Sim,Não,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,70.9,70.9,2.36
0156-FVPTA,Sim,Homem,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,54.2,1152.7,1.81
0164-APGRB,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,114.9,8496.7,3.83
0164-XAIRP,Não,Mulher,Não,Não,Não,24,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Transferência bancária,19.55,470.2,0.65
0168-XZKBB,Não,Mulher,Não,Sim,Não,19,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,86.85,1564.4,2.9
0174-QRVVY,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cartão de crédito,25.35,1847.55,0.85
0177-PXBAT,Não,Homem,Sim,Sim,Não,33,Sim,Sim,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência bancária,109.9,3694.7,3.66
0178-CIIKR,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,19.95,58.0,0.66
0178-SZBHO,Não,Homem,Não,Sim,Sim,47,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,87.2,4017.45,2.91
0181-RITDD,Não,Homem,Não,Sim,Sim,62,Sim,Não,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque enviado,108.15,6825.65,3.6
0186-CAERR,Não,Homem,Não,Não,Não,71,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária,116.3,8309.55,3.88
0187-QSXOE,Não,Homem,Sim,Sim,Não,7,Sim,Não,Fibra óptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.0,605.45,2.97
0187-WZNAB,Não,Mulher,Não,Sim,Sim,27,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,74.4,1972.35,2.48
0188-GWFLE,Não,Homem,Não,Não,Não,2,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Cheque enviado,20.05,33.7,0.67
0191-EQUUH,Não,Mulher,Não,Não,Sim,25,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bienal,Não,Transferência bancária,35.05,844.45,1.17
0191-ZHSKZ,Não,Homem,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,74.75,2111.3,2.49
0193-ESZXP,Sim,Mulher,Sim,Sim,Não,58,Sim,Não,Fibra óptica,Sim,Sim,Não,Sim,Sim,Sim,Anual,Sim,Cartão de crédito,105.5,6205.5,3.52
0195-IESCP,Sim,Homem,Não,Sim,Não,10,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.25,855.3,2.84
0196-JTUQI,Não,Mulher,Não,Não,Não,9,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito,75.2,633.85,2.51
0196-VULGZ,Sim,Mulher,Sim,Sim,Não,6,Sim,Sim,Fibra óptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,84.35,474.9,2.81
0197-PNKNK,Não,Mulher,Não,Sim,Sim,69,Sim,Sim,Fibra óptica,Sim,Não,Sim,Não,Não,Não,Anual,Não,Transferência bancária,84.45,5848.6,2.82
0201-MIBOL,Não,Mulher,Sim,Não,Não,66,Sim,Sim,Fibra óptica,Sim,Não,Não,Não,Sim,Sim,Bienal,Sim,Transferência bancária,102.4,6471.85,3.41
0201-OAMXR,Sim,Mulher,Não,Não,Não,70,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cartão de crédito,115.55,8127.6,3.85
0203-HHYIJ,Sim,Homem,Não,Não,Não,25,Sim,Sim,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Transferência bancária,25.3,676.35,0.84
0206-OYVOC,Não,Mulher,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Sim,Cheque enviado,19.25,864.2,0.64
0206-TBWLC,Não,Mulher,Não,Sim,Não,54,Sim,Sim,Fibra óptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque enviado,114.65,6049.5,3.82
0207-MDKNV,Sim,Mulher,Não,Não,Não,15,Sim,Não,Fibra óptica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,105.1,1582.75,3.5
0208-BPQEJ,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Mensal,Não,Transferência bancária,19.4,198.1,0.65
0212-ISBBF,Não,Mulher,Não,Não,Não,22,Não,Sem serviço de telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.35,1098.85,1.68
0214-JHPFW,Não,Mulher,Não,Sim,Não,70,Não,Sem serviço de telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária,57.8,4039.3,1.93
0215-BQKGS,Não,Homem,Não,Não,Não,30,Sim,Não,Fibra óptica,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de crédito,84.3,2438.6,2.81
0218-QNVAS,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Fibra óptica,Não,Sim,Não,Não,Sim,Sim,Anual,Não,Transferência bancária,100.55,7113.75,3.35
0219-QAERP,Não,Homem,Não,Sim,Não,30,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Não,Cartão de crédito,19.8,576.65,0.66
0219-YTZUE,Sim,Homem,Não,Sim,Sim,4,Sim,Sim,Fibra óptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária,84.8,371.9,2.83
0220-EBGCE,Sim,Homem,Não,Não,Não,2,Sim,Não,Fibra óptica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.85,167.3,2.86
0221-NAUXK,Não,Homem,Não,Não,Sim,10,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Anual,Sim,Transferência bancária,19.95,219.5,0.66
0221-WMXNQ,Não,Homem,Sim,Não,Não,4,Sim,Não,Fibra óptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.35,273.4,2.51
0222-CNVPT,Não,Homem,Sim,Não,Não,52,Não,Sem serviço de telefone,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,48.8,2555.05,1.63
0224-HJAPT,Sim,Homem,Não,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,47.15,223.15,1.57
0224-NIJLP,Não,Homem,Não,Sim,Sim,8,Sim,Não,Não,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Sem serviço de internet,Bienal,Não,Cheque enviado,20.15,165.5,0.67
0224-RLWWD,Não,Mulher,Sim,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,44.3,89.3,1.48
0225-ZORZP,Não,Homem,Não,Não,Não,3,Sim,Não,Fibra óptica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,84.3,235.05,2.81
